houve grande	haver grande	ter-muito
desenvolvimento	desenvolvimento	desenvolvimento
político	político	político
religioso	religioso	igreja
foi muito	ir muito	ter-muito
estado	estado	estado
religião	religião	igreja
investiu	investir	investir
pouco	pouco	pouco
financeiramente	financeiro	dinheiro
isto	isto	ele
bom	bom	bom
aproveitou	aproveitar	aproveitar
mudança	mudança	mudar
conflitos	conflito	conflito
problemas	problema	problema
igreja	igreja	igreja
igreja	igreja	igreja
muita riqueza	muito riqueza	muito-rico
não sei	não saber	não-saber
corta	corta	cortar
papa	papa	papa
vida	vida	vida
boa	bom	bom
fazer	fazer	fazer
homem	homem	homem
lutero	lutero	lutero
chamado	chamar	nome
desobedeceu	desobedecer	desobedecer
enviou documento	enviar documento	enviar-carta
descobriu	descobrir	descobrir
economia	economia	dinheiro comércio
alterações	alteração	mudança
descobrimentos	descobrimento	descobrimento
também	também	também
arte	arte	arte
livros	livro	livro
controlar	controlar	controle
havia	haver	haver
problemas	problema	problema
lutero	lutero	lutero
revoltado	revoltar	revoltar
descobriu	descobrir	descobrir
escreveu	escrever	escrever
pessoas	pessoa	pessoa
papa	papa	papa
ou	ou	ou
problema	problema	problema
sociedade	sociedade	sociedade
destruiu	destruir	destruição
fora	fora	fora
objetivo	objetivo	objetivo
único	único	unico
política	política	política
tentou	tentar	tentar
sistema	sistema	sistema
ordem	ordem	ordem
rainha	rainha	rei mulher
tinha	ter	ter
sistema	sistema	sistema
segundo	segundo	dois
burguesia	burguesia	burguesia
dois juntos	dois junto	dois-junto
tinham	ter	ter
boas	bom	bom
vida	vida	vida
ele	ele	ele
fizesse	fazer	fazer
mal	mal	mal
dinheiro	dinheiro	dinheiro
todos	todos	todo
rei	rei	rei
divertiam	divertir	divertir
festas	festa	festa
casas	casa	casa
riqueza	riqueza	dinheiro
mandou	mandar	mandar
grupo	grupo	grupo
livros	livro	livro
textos	texto	texto
ler	ler	ver
textos	texto	texto
falassem	falar	falar
ciência	ciência	ciência
ou	ou	ou
castigados	castigar	castigar
obrigados	obrigar	controlar
artistas	artista	arte
mortos	matar	matar
proibição	proibição	proibir
liberdade	liberdade	à-vontade
ligada	ligar	ligar
igreja	igreja	igreja
mas	mas	mas
diferente	diferente	diferente
católica	católico	católico
falta	falta	faltar
aceitavam	aceitar	aceitar
católicos	católico	católico
religiões	religião	religião
duas	duas	dois
inimigas	inimigo	inimigo
